,C4DMAM_1,C4Morpho_1,C4Me-SO4_1,C4MeOH_1,C4Br_1,C7Br_1,C4Me_1,Dluc_1,7Methyl_0n,7Morpho_0n,7Morpip_0n,7DMAM_0n
149,3.05E+05,1.50E+04,1.84E+05,1.53E+06,3.32E+07,6.76E+07,3.69E+07,6.87E+07,1.30E+07,7.28E+04,3.70E+05,2.75E+06
150,5.78E+05,3.08E+04,4.12E+05,2.29E+06,6.76E+07,2.68E+08,1.12E+08,6.24E+08,4.21E+07,8.07E+04,3.22E+05,3.06E+06
156,4.61E+04,2.00E+04,7.04E+04,2.79E+05,7.53E+06,3.30E+07,1.20E+07,1.83E+08,2.17E+07,4.75E+04,5.54E+04,8.36E+05
157,8.34E+05,3.09E+04,5.95E+05,2.66E+06,8.22E+07,2.61E+08,1.37E+08,8.01E+08,2.46E+08,7.79E+05,1.30E+06,1.53E+07
158,5.87E+05,2.67E+04,2.73E+05,1.61E+06,6.06E+07,1.86E+08,1.20E+08,3.28E+08,1.26E+08,1.90E+05,2.10E+05,6.33E+06
159,3.14E+05,1.73E+04,1.27E+05,8.17E+05,3.69E+07,5.98E+07,6.80E+07,1.33E+08,7.04E+07,2.75E+05,3.27E+05,8.02E+06
160,3.81E+04,8.01E+03,1.13E+05,1.06E+06,1.21E+07,7.43E+07,2.69E+07,4.00E+08,2.22E+07,3.94E+04,3.09E+04,1.10E+06
161,4.18E+05,2.16E+04,2.08E+05,9.35E+05,1.52E+07,6.09E+07,2.74E+07,6.31E+07,3.78E+07,3.44E+05,3.49E+05,4.28E+06
162,1.24E+04,6.26E+03,1.78E+04,5.27E+04,2.67E+06,2.07E+06,1.40E+06,1.49E+06,1.36E+06,4.13E+03,1.00E+04,3.62E+04
163,6.57E+03,4.52E+03,1.38E+04,5.48E+04,3.14E+06,2.23E+06,1.34E+06,2.92E+06,1.23E+06,5.38E+03,5.92E+03,2.84E+04
164,6.43E+04,4.88E+03,3.13E+04,1.92E+05,8.07E+06,1.80E+07,1.36E+07,2.21E+07,1.17E+07,6.12E+04,1.08E+05,4.68E+05
165,1.29E+06,1.77E+05,1.49E+06,2.17E+07,5.26E+08,8.29E+08,9.90E+08,1.87E+09,4.26E+08,6.67E+05,3.78E+06,3.03E+07
166,4.52E+06,9.72E+05,1.54E+07,6.58E+07,3.30E+08,3.82E+09,1.68E+09,3.95E+09,3.24E+09,2.92E+07,1.68E+08,8.46E+08
167,6.33E+05,7.51E+04,8.74E+05,1.08E+07,6.67E+07,1.46E+08,1.30E+08,2.22E+08,7.69E+07,1.23E+05,8.21E+05,5.96E+06
169,3.68E+06,1.15E+06,1.05E+07,5.51E+07,3.75E+08,7.47E+08,6.33E+08,7.30E+08,1.80E+08,6.41E+06,2.72E+07,2.70E+08
170,8.84E+05,3.57E+04,9.68E+05,2.48E+06,8.15E+07,4.61E+08,8.16E+07,1.16E+09,3.77E+07,1.12E+05,4.96E+05,4.81E+06
171,6.48E+05,2.24E+04,4.43E+05,3.17E+06,1.27E+08,3.82E+08,1.95E+08,1.15E+09,6.15E+07,5.22E+04,3.36E+05,2.44E+06
172,8.89E+05,3.86E+04,8.86E+05,3.94E+06,2.35E+08,5.67E+08,2.16E+08,1.22E+09,6.67E+07,5.24E+04,3.70E+05,2.84E+06
173,3.48E+05,3.89E+04,4.71E+05,6.32E+06,2.74E+07,2.12E+08,2.58E+07,6.68E+08,2.40E+07,9.33E+04,4.21E+05,3.43E+06
174,2.31E+05,4.02E+04,3.32E+05,4.12E+06,3.14E+07,8.62E+07,5.46E+07,1.25E+08,1.02E+07,8.10E+04,2.64E+05,2.57E+06
